MassiveID,filename,SampleType,SampleTypeSub1,NCBITaxonomy,YearOfAnalysis,SampleCollectionMethod,SampleExtractionMethod,InternalStandardsUsed,MassSpectrometer,IonizationSourceAndPolarity,ChromatographyAndPhase,SubjectIdentifierAsRecorded,AgeInYears,BiologicalSex,UBERONBodyPartName,TermsofPosition,HealthStatus,DOIDCommonName,ComorbidityListDOIDIndex,SampleCollectionDateandTime,Country,HumanPopulationDensity,LatitudeandLongitude,DepthorAltitudeMeters,sample_name,UniqueSubjectID,LifeStage,UBERONOntologyIndex,DOIDOntologyIndex
,,,,997887|Bacteroides salyersiae CL02T12C01,,,,,ACQUITY UPLC H-Class Bio|MS:1001763,,,,,,renal cortex artery,,,,,,Fiji,,,,,,,UBERON:0000173,
,,,,997887|Bacteroides salyersiae,,,,,ACQUITY UPLC H-Class|MS:1001762,,,,,,renal medulla,,,,,,Finland,,,,,,,UBERON:0000956,
,,,,997883|Bacteroides fragilis CL07T12C05,,,,,ACQUITY UPLC I-Class|MS:1001764,,,,,,retina,,,,,,France,,,,,,,UBERON:0000018,
,,,,997883|Bacteroides fragilis,,,,,Acquity UPLC PDA|MS:1000818,,,,,,saliva,,,,,,Gabon,,,,,,,UBERON:0009120,
,,,,997882|Bacteroides fragilis CL07T00C01,,,,,ACQUITY UPLC Systems with 2D Technology|MS:1001765,,,,,,skeletal muscle organ,,,,,,Gambia,,,,,,,UBERON:0000400,
,,,,997882|Bacteroides fragilis,,,,,ACQUITY UPLC|MS:1001761,,,,,,skin of back,,,,,,Georgia,,,,,,,UBERON:0000957,
,,,,997880|Bacteroides fragilis CL05T00C42,,,,,Agilent 6546 QTOF|not available,,,,,,skin of body,,,,,,Germany,,,,,,,UBERON:6001741,
,,,,997879|Bacteroides fragilis CL03T12C07,,,,,Agilent GC 6890|MS:5973,,,,,,skin of leg,,,,,,Ghana,,,,,,,UBERON:0000468,
,,,,997879|Bacteroides fragilis,,,,,Agilent GC 6890-MS 5973,,,,,,skin of manus,,,,,,Greece,,,,,,,UBERON:0012621,
,,,,997877|Bacteroides dorei CL03T12C01,,,,,Agilent GC 7820A-MS 5977B|not available,,,,,,skin of pes,,,,,,Grenada,,,,,,,UBERON:0012243,
,,,,997876|Bacteroides dorei CL02T12C06,,,,,Agilent instrument model|MS:1000490,,,,,,skin of prepuce of penis,,,,,,Guatemala,,,,,,,UBERON:0010409,
