MWB,REDU
1027070|Banisteriopsis laevifolia,1027070|Banisteriopsis laevifolia
1027072|Banisteriopsis muricata,1027072|Banisteriopsis muricata
1027080|Blepharandra hypoleuca,1027080|Blepharandra hypoleuca
1027090|Bunchosia glandulifera,1027090|Bunchosia glandulifera
1027102|Byrsonima coccolobifolia,1027102|Byrsonima coccolobifolia
1027110|Callaeum antifebrile,1027110|Callaeum antifebrile
1027114|Callaeum psilophyllum,1027114|Callaeum psilophyllum
1027120|Christianella multiglandulosa,1027120|Christianella multiglandulosa
1027122|Dicella bracteosa,1027122|Dicella bracteosa
1027124|Dicella macroptera,1027124|Dicella macroptera
1027129|Diplopterys pubipetala,1027129|Diplopterys pubipetala
1027132|Galphimia brasiliensis,1027132|Galphimia brasiliensis
1027142|Heteropterys brachiata,1027142|Heteropterys brachiata
1027148|Heteropterys leschenaultiana,1027148|Heteropterys leschenaultiana
1027163|Janusia janusioides,1027163|Janusia janusioides
1027172|Malpighia mexicana,1027172|Malpighia mexicana
1027192|Niedenzuella lucida,1027192|Niedenzuella lucida
1027193|Niedenzuella acutifolia,1027193|Niedenzuella acutifolia
1027194|Niedenzuella sericea,1027194|Niedenzuella sericea
1027196|Peixotoa cordistipula,1027196|Peixotoa cordistipula
1027199|Peixotoa reticulata,1027199|Peixotoa reticulata
1027204|Sphedamnocarpus angolensis,1027204|Sphedamnocarpus angolensis
1027211|Stigmaphyllon ciliatum,1027211|Stigmaphyllon ciliatum
1027214|Tetrapterys ambigua,1027214|Tetrapterys ambigua
1027218|Tetrapterys phlomoides,1027218|Tetrapterys phlomoides
102722|Saxifraga cuneifolia,102722|Saxifraga cuneifolia
1027220|Tetrapterys schiedeana,1027220|Tetrapterys schiedeana
102727|Saxifraga hirsuta,102727|Saxifraga hirsuta
102728|Saxifraga hostii,102728|Saxifraga hostii
1027292|Sporosarcina newyorkensis,1027292|Sporosarcina newyorkensis
102734|Saxifraga paniculata,102734|Saxifraga paniculata
1027361|Microchloropsis salina,1027361|Microchloropsis salina
102738|Saxifraga tricuspidata,102738|Saxifraga tricuspidata
1027434|Natica lineata,1027434|Natica lineata
102745|Hieracium,102745|Hieracium
1027457|Canarium,1027457|Canarium
102746|Hieracium piloselloides,102746|Hieracium piloselloides
102749|Ageratina,102749|Ageratina
102750|Ageratina altissima,102750|Ageratina altissima
102751|Ageratina aromatica,102751|Ageratina aromatica
102753|Brickellia,102753|Brickellia
102754|Brickellia eupatorioides,102754|Brickellia eupatorioides
102755|Brickellia grandiflora,102755|Brickellia grandiflora
102756|Carphephorus,102756|Carphephorus
102757|Carphephorus corymbosus,102757|Carphephorus corymbosus
102761|Conoclinium coelestinum,102761|Conoclinium coelestinum
1027633|Enteractinococcus coprophilus,1027633|Enteractinococcus coprophilus
102765|Eutrochium maculatum,102765|Eutrochium maculatum
102766|Eutrochium purpureum,102766|Eutrochium purpureum
102768|Eupatorium album,102768|Eupatorium album
102769|Eupatorium altissimum,102769|Eupatorium altissimum
102770|Eupatorium cannabinum,102770|Eupatorium cannabinum
102771|Eupatorium capillifolium,102771|Eupatorium capillifolium
102772|Eupatorium chinense,102772|Eupatorium chinense
102773|Eupatorium glaucescens,102773|Eupatorium glaucescens
102774|Eupatorium hyssopifolium,102774|Eupatorium hyssopifolium
102775|Eupatorium leucolepis,102775|Eupatorium leucolepis
102776|Eupatorium mikanioides,102776|Eupatorium mikanioides
102777|Eupatorium perfoliatum,102777|Eupatorium perfoliatum
102778|Eupatorium rotundifolium,102778|Eupatorium rotundifolium
1027780|Artemisia edgeworthii,1027780|Artemisia edgeworthii
1027781|Artemisia eriopoda,1027781|Artemisia eriopoda
102779|Eupatorium sessilifolium,102779|Eupatorium sessilifolium
1027791|Artemisia ordosica,1027791|Artemisia ordosica
1027797|Artemisia subdigitata,1027797|Artemisia subdigitata
102780|Fleischmannia,102780|Fleischmannia
1027803|Freycinetia boninensis,1027803|Freycinetia boninensis
102782|Liatris,102782|Liatris
102783|Liatris acidota,102783|Liatris acidota
102784|Liatris elegans,102784|Liatris elegans
102785|Liatris provincialis,102785|Liatris provincialis
102786|Mikania,102786|Mikania
102787|Mikania scandens,102787|Mikania scandens
1027886|Ammannia auriculata,1027886|Ammannia auriculata
102791|Trilisa odoratissima,102791|Trilisa odoratissima
1027910|Verticillium dahliae,1027910|Verticillium dahliae
102803|Ips pini,102803|Ips pini
1028098|Hierodula patellifera,1028098|Hierodula patellifera
102810|Asteraceae,102810|Asteraceae
102812|Asteraceae,102812|Asteraceae
1028181|Ceroplastes ceriferus,1028181|Ceroplastes ceriferus
102819|Asteraceae,102819|Asteraceae
102824|Ips avulsus,102824|Ips avulsus
102827|Ips calligraphus,102827|Ips calligraphus
102829|Ips confusus,102829|Ips confusus
1028359|Ligustrum robustum,1028359|Ligustrum robustum
1028379|Achillea santolina,1028379|Achillea santolina
1028380|Ambrosia maritima,1028380|Ambrosia maritima
1028566|Sulfolobus acidocaldarius,1028566|Sulfolobus acidocaldarius
102859|Pityokteines,102859|Pityokteines
1028722|Leptasterias ochotensis,1028722|Leptasterias ochotensis
1028729|Fusarium pseudograminearum,1028729|Fusarium pseudograminearum
1028809|Streptomyces mutabilis,1028809|Streptomyces mutabilis
1028810|Helicobacter pylori,1028810|Helicobacter pylori
102976|Euphausia pacifica,102976|Euphausia pacifica
1029762|Drupella fragum,1029762|Drupella fragum
1030021|Drosera slackii,1030021|Drosera slackii
1030043|Galeopsis ladanum,1030043|Galeopsis ladanum
1030150|Dalbergia oliveri,1030150|Dalbergia oliveri
1030174|Afrocarpus mannii,1030174|Afrocarpus mannii
1030181|Dacrydium nausoriense,1030181|Dacrydium nausoriense
1030182|Dacrydium nidulum,1030182|Dacrydium nidulum
1030187|Podocarpus affinis,1030187|Podocarpus affinis
1030191|Podocarpus brevifolius,1030191|Podocarpus brevifolius
1030195|Podocarpus elongatus,1030195|Podocarpus elongatus
1030197|Podocarpus lambertii,1030197|Podocarpus lambertii
1030199|Podocarpus macrophyllus macrophyllus,1030199|Podocarpus macrophyllus macrophyllus
1030201|Podocarpus purdieanus,1030201|Podocarpus purdieanus
1030206|Podocarpus sellowii,1030206|Podocarpus sellowii
1030210|Podocarpus urbanii,1030210|Podocarpus urbanii
